Gene Name Source,Gene Name Target,log2FC_PSM,weight,specificity,PSM_risk,PSM_nonrisk,Interaction,in_cad_gwas,in_biogrid,in_cad_eqtl,in_cad_gwas_aragam_2022,in_condition_specific_eqtl,in_condition_specific_sqtl,in_smc_elevated,source_harmonized,target_harmonized,source_primary_category,target_primary_category,specificity_target,in_biogrid_edge,source_for_target
COA8,PITRM1,-4.938599455,4.938599455,nonrisk-specific,0,29.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,PITRM1,Membrane/Transmembrane,Catalytic/Enzymatic,nonrisk-specific,NO,COA8
COA8,PRKAB2,-3.222392421,3.222392421,nonrisk-specific,0,8.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,PRKAB2,Membrane/Transmembrane,Catalytic/Enzymatic,nonrisk-specific,NO,COA8
COA8,SIRT5,-1.874469118,1.874469118,nonrisk-specific,0,2.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,SIRT5,Membrane/Transmembrane,Mitochondrial,nonrisk-specific,NO,COA8
DPYD,ABCC4,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,YES,NO,DPYD,ABCC4,Metabolic,Membrane/Transmembrane,risk-specific,NO,DPYD
DPYD,CEP131,2.662965013,2.662965013,risk-specific,5.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,CEP131,Metabolic,Vesicle/Transport,risk-specific,NO,DPYD
DPYD,CIAO3,1.874469118,1.874469118,risk-specific,2.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,CIAO3,Metabolic,Differentiation/Development,risk-specific,NO,DPYD
DPYD,DPP9,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,DPP9,Metabolic,Catalytic/Enzymatic,risk-specific,NO,DPYD
DPYD,FBXO10,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,YES,NO,DPYD,FBXO10,Metabolic,Apoptosis/Cell Death,risk-specific,NO,DPYD
DPYD,FIZ1,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,FIZ1,Metabolic,Ion Binding,risk-specific,NO,DPYD
DPYD,GAN,-0.05246742,0.05246742,shared,8,8.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,GAN,Metabolic,Catalytic/Enzymatic,shared,NO,DPYD
DPYD,GAN,-0.05246742,0.05246742,shared,8,8.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,GAN,Metabolic,Catalytic/Enzymatic,shared,NO,DPYD
DPYD,LPCAT4,-0.234465254,0.234465254,shared,4.666666667,5.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,LPCAT4,Metabolic,Catalytic/Enzymatic,shared,NO,DPYD
DPYD,LPCAT4,-0.234465254,0.234465254,shared,4.666666667,5.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,LPCAT4,Metabolic,Catalytic/Enzymatic,shared,NO,DPYD
DPYD,MYO19,-0.099535674,0.099535674,shared,3.666666667,4,Interaction,NO,NO,NO,NO,NO,YES,NO,DPYD,MYO19,Metabolic,Structural,shared,NO,DPYD
DPYD,MYO19,-0.099535674,0.099535674,shared,3.666666667,4,Interaction,NO,NO,NO,NO,NO,YES,NO,DPYD,MYO19,Metabolic,Structural,shared,NO,DPYD
DPYD,PASK,0.111031312,0.111031312,shared,8,7.333333333,Interaction,NO,NO,NO,NO,NO,YES,NO,DPYD,PASK,Metabolic,Catalytic/Enzymatic,shared,NO,DPYD
DPYD,PASK,0.111031312,0.111031312,shared,8,7.333333333,Interaction,NO,NO,NO,NO,NO,YES,NO,DPYD,PASK,Metabolic,Catalytic/Enzymatic,shared,NO,DPYD
DPYD,RAF1,0.075288127,0.075288127,shared,18.66666667,17.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,RAF1,Metabolic,Signaling,shared,NO,DPYD
DPYD,RAF1,0.075288127,0.075288127,shared,18.66666667,17.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,RAF1,Metabolic,Signaling,shared,NO,DPYD
DPYD,SORL1,4.087462841,4.087462841,risk-specific,16,0,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,SORL1,Metabolic,Vesicle/Transport,risk-specific,NO,DPYD
DPYD,TIMM8B,0,0,shared,2.666666667,2.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,TIMM8B,Metabolic,Membrane/Transmembrane,shared,NO,DPYD
DPYD,TIMM8B,0,0,shared,2.666666667,2.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,TIMM8B,Metabolic,Membrane/Transmembrane,shared,NO,DPYD
DPYD,TUBB3,7.202940059,7.202940059,risk-specific,146.3333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,TUBB3,Metabolic,Structural,risk-specific,NO,DPYD
DPYD,TUBB4A,4.736965594,4.736965594,risk-specific,25.66666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,TUBB4A,Metabolic,Structural,risk-specific,NO,DPYD
DPYD,USP19,0.05246742,0.05246742,shared,8.333333333,8,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,USP19,Metabolic,Catalytic/Enzymatic,shared,NO,DPYD
DPYD,USP19,0.05246742,0.05246742,shared,8.333333333,8,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,USP19,Metabolic,Catalytic/Enzymatic,shared,NO,DPYD
DPYD,ADNP2,-1.874469118,1.874469118,nonrisk-specific,0,2.666666667,Interaction,NO,NO,NO,NO,NO,YES,NO,DPYD,ADNP2,Metabolic,Nucleic Acid Binding,nonrisk-specific,NO,DPYD
DPYD,AP3M2,-2,2,nonrisk-specific,0,3,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,AP3M2,Metabolic,Vesicle/Transport,nonrisk-specific,NO,DPYD
DPYD,DYNC2LI1,-2.222392421,2.222392421,nonrisk-specific,0,3.666666667,Interaction,NO,NO,NO,NO,YES,NO,NO,DPYD,DYNC2LI1,Metabolic,Vesicle/Transport,nonrisk-specific,NO,DPYD
DPYD,LRBA,-2.115477217,2.115477217,nonrisk-specific,0,3.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,LRBA,Metabolic,Membrane/Transmembrane,nonrisk-specific,NO,DPYD
DPYD,NR2F6,-1.584962501,1.584962501,nonrisk-specific,0,2,Interaction,NO,NO,NO,NO,NO,NO,NO,DPYD,NR2F6,Metabolic,Nucleic Acid Binding,nonrisk-specific,NO,DPYD
FAAP20,ADPGK,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,ADPGK,DNA Repair,Catalytic/Enzymatic,risk-specific,NO,FAAP20
FAAP20,AGL,5.073248982,5.073248982,risk-specific,32.66666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,AGL,DNA Repair,Catalytic/Enzymatic,risk-specific,NO,FAAP20
FAAP20,AGPS,0.157541277,0.157541277,shared,37.66666667,33.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,AGPS,DNA Repair,Metabolic,shared,NO,FAAP20
FAAP20,AGPS,0.157541277,0.157541277,shared,37.66666667,33.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,AGPS,DNA Repair,Metabolic,shared,NO,FAAP20
FAAP20,AIMP2,3,3,risk-specific,7,0,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,AIMP2,DNA Repair,Apoptosis/Cell Death,risk-specific,NO,FAAP20
FAAP20,AP1B1,4.321928095,4.321928095,risk-specific,19,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,AP1B1,DNA Repair,Membrane/Transmembrane,risk-specific,NO,FAAP20
FAAP20,AP2A1,5.321928095,5.321928095,risk-specific,39,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,AP2A1,DNA Repair,Vesicle/Transport,risk-specific,NO,FAAP20
FAAP20,AP2A2,4.2730184939999996,4.2730184939999996,risk-specific,18.33333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,AP2A2,DNA Repair,Vesicle/Transport,risk-specific,NO,FAAP20
FAAP20,AP2B1,5.247927513,5.247927513,risk-specific,37,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,AP2B1,DNA Repair,Vesicle/Transport,risk-specific,NO,FAAP20
FAAP20,AURKA,2.321928095,2.321928095,risk-specific,4,0,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,AURKA,DNA Repair,Cell Cycle,risk-specific,NO,FAAP20
FAAP20,CHST14,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,CHST14,DNA Repair,Catalytic/Enzymatic,risk-specific,NO,FAAP20
FAAP20,DDX11,3.584962501,3.584962501,risk-specific,11,0,Interaction,NO,NO,NO,NO,YES,YES,NO,FAAP20,DDX11,DNA Repair,Nucleic Acid Binding,risk-specific,NO,FAAP20
FAAP20,DOP1B,2.415037499,2.415037499,risk-specific,4.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,DOP1B,DNA Repair,Vesicle/Transport,risk-specific,NO,FAAP20
FAAP20,ECH1,0.137503524,0.137503524,shared,2.666666667,2.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,ECH1,DNA Repair,Catalytic/Enzymatic,shared,NO,FAAP20
FAAP20,ECH1,0.137503524,0.137503524,shared,2.666666667,2.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,ECH1,DNA Repair,Catalytic/Enzymatic,shared,NO,FAAP20
FAAP20,EIF4A2,3.36923381,3.36923381,risk-specific,9.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,EIF4A2,DNA Repair,Transcription/Translation,risk-specific,NO,FAAP20
FAAP20,ENGASE,2.807354922,2.807354922,risk-specific,6,0,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,ENGASE,DNA Repair,Catalytic/Enzymatic,risk-specific,NO,FAAP20
FAAP20,HSPA12A,3.115477217,3.115477217,risk-specific,7.666666667,0,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,HSPA12A,DNA Repair,Nucleotide Binding,risk-specific,NO,FAAP20
FAAP20,MOXD1,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,NO,YES,FAAP20,MOXD1,DNA Repair,Catalytic/Enzymatic,risk-specific,NO,FAAP20
FAAP20,MRPS23,-0.584962501,0.584962501,shared,4.333333333,7,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,MRPS23,DNA Repair,Membrane/Transmembrane,shared,NO,FAAP20
FAAP20,MRPS23,-0.584962501,0.584962501,shared,4.333333333,7,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,MRPS23,DNA Repair,Membrane/Transmembrane,shared,NO,FAAP20
FAAP20,NCAPG2,4.89077093,4.89077093,risk-specific,28.66666667,0,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,NCAPG2,DNA Repair,Nucleic Acid Binding,risk-specific,NO,FAAP20
FAAP20,NDUFS7,0.044394119,0.044394119,shared,10,9.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,NDUFS7,DNA Repair,Membrane/Transmembrane,shared,NO,FAAP20
FAAP20,NDUFS7,0.044394119,0.044394119,shared,10,9.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,NDUFS7,DNA Repair,Membrane/Transmembrane,shared,NO,FAAP20
FAAP20,NUP88,3.058893689,3.058893689,risk-specific,7.333333333,0,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,NUP88,DNA Repair,Transcription/Translation,risk-specific,NO,FAAP20
FAAP20,NXN,4.392317423,4.392317423,risk-specific,20,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,NXN,DNA Repair,Differentiation/Development,risk-specific,NO,FAAP20
FAAP20,PFDN5,4.169925001,4.169925001,risk-specific,17,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,PFDN5,DNA Repair,Signaling,risk-specific,NO,FAAP20
FAAP20,PYCR3,3,3,risk-specific,7,0,Interaction,NO,NO,NO,NO,YES,NO,NO,FAAP20,PYCR3,DNA Repair,Metabolic,risk-specific,NO,FAAP20
FAAP20,RTCA,3.459431619,3.459431619,risk-specific,10,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,RTCA,DNA Repair,Catalytic/Enzymatic,risk-specific,NO,FAAP20
FAAP20,SH3RF3,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,SH3RF3,DNA Repair,Ubiquitin/Degradation,risk-specific,NO,FAAP20
FAAP20,SLC25A1,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,SLC25A1,DNA Repair,Membrane/Transmembrane,risk-specific,NO,FAAP20
FAAP20,TIMM9,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,TIMM9,DNA Repair,Membrane/Transmembrane,risk-specific,NO,FAAP20
FAAP20,TTC19,0.253286429,0.253286429,shared,38.33333333,32,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,TTC19,DNA Repair,Cell Cycle,shared,NO,FAAP20
FAAP20,TTC19,0.253286429,0.253286429,shared,38.33333333,32,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,TTC19,DNA Repair,Cell Cycle,shared,NO,FAAP20
FAAP20,TUBB3,6.592457037,6.592457037,risk-specific,95.5,0,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,TUBB3,DNA Repair,Structural,risk-specific,NO,FAAP20
FAAP20,ACAD9,-2.938599455,2.938599455,nonrisk-specific,0,6.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,ACAD9,DNA Repair,Metabolic,nonrisk-specific,NO,FAAP20
FAAP20,AGGF1,-2.502500341,2.502500341,nonrisk-specific,0,4.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,AGGF1,DNA Repair,Protein-Protein Interaction,nonrisk-specific,NO,FAAP20
FAAP20,CCDC71L,-1.874469118,1.874469118,nonrisk-specific,0,2.666666667,Interaction,YES,NO,NO,NO,NO,NO,NO,FAAP20,CCDC71L,DNA Repair,Other,nonrisk-specific,NO,FAAP20
FAAP20,CUL7,-4.754887502,4.754887502,nonrisk-specific,0,26,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,CUL7,DNA Repair,Catalytic/Enzymatic,nonrisk-specific,NO,FAAP20
FAAP20,CUL9,-2.115477217,2.115477217,nonrisk-specific,0,3.333333333,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,CUL9,DNA Repair,Catalytic/Enzymatic,nonrisk-specific,NO,FAAP20
FAAP20,CYLD,-1.874469118,1.874469118,nonrisk-specific,0,2.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,CYLD,DNA Repair,Signaling,nonrisk-specific,NO,FAAP20
FAAP20,DCAF5,-3.544320516,3.544320516,nonrisk-specific,0,10.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,DCAF5,DNA Repair,Catalytic/Enzymatic,nonrisk-specific,NO,FAAP20
FAAP20,DSN1,-1.736965594,1.736965594,nonrisk-specific,0,2.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,DSN1,DNA Repair,Cell Cycle,nonrisk-specific,NO,FAAP20
FAAP20,EARS2,-3.624490865,3.624490865,nonrisk-specific,0,11.33333333,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,EARS2,DNA Repair,Catalytic/Enzymatic,nonrisk-specific,NO,FAAP20
FAAP20,ESRRA,-2.415037499,2.415037499,nonrisk-specific,0,4.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,ESRRA,DNA Repair,Signaling,nonrisk-specific,NO,FAAP20
FAAP20,KATNB1,-2.321928095,2.321928095,nonrisk-specific,0,4,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,KATNB1,DNA Repair,Membrane/Transmembrane,nonrisk-specific,NO,FAAP20
FAAP20,MCM4,-5.108524457,5.108524457,nonrisk-specific,0,33.5,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,MCM4,DNA Repair,Nucleic Acid Binding,nonrisk-specific,NO,FAAP20
FAAP20,MOV10,-3.938599455,3.938599455,nonrisk-specific,0,14.33333333,Interaction,NO,NO,NO,NO,YES,NO,NO,FAAP20,MOV10,DNA Repair,Transcription/Translation,nonrisk-specific,NO,FAAP20
FAAP20,NAP1L1,-4,4,nonrisk-specific,0,15,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,NAP1L1,DNA Repair,Nucleic Acid Binding,nonrisk-specific,NO,FAAP20
FAAP20,PFAS,-2.736965594,2.736965594,nonrisk-specific,0,5.666666667,Interaction,NO,NO,NO,NO,NO,YES,NO,FAAP20,PFAS,DNA Repair,Metabolic,nonrisk-specific,NO,FAAP20
FAAP20,PPP4R3A,-2.415037499,2.415037499,nonrisk-specific,0,4.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,PPP4R3A,DNA Repair,Catalytic/Enzymatic,nonrisk-specific,NO,FAAP20
FAAP20,PPP4R3B,-2.736965594,2.736965594,nonrisk-specific,0,5.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,PPP4R3B,DNA Repair,Catalytic/Enzymatic,nonrisk-specific,NO,FAAP20
FAAP20,RPL11,-2.321928095,2.321928095,nonrisk-specific,0,4,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,RPL11,DNA Repair,Transcription/Translation,nonrisk-specific,NO,FAAP20
FAAP20,SEC16A,-4.874469118,4.874469118,nonrisk-specific,0,28.33333333,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,SEC16A,DNA Repair,Vesicle/Transport,nonrisk-specific,NO,FAAP20
FAAP20,SHCBP1,-2,2,nonrisk-specific,0,3,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,SHCBP1,DNA Repair,Protein-Protein Interaction,nonrisk-specific,NO,FAAP20
FAAP20,STK3,-4.196397213,4.196397213,nonrisk-specific,0,17.33333333,Interaction,YES,NO,NO,NO,NO,NO,NO,FAAP20,STK3,DNA Repair,Catalytic/Enzymatic,nonrisk-specific,NO,FAAP20
FAAP20,STUB1,-2.938599455,2.938599455,nonrisk-specific,0,6.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,STUB1,DNA Repair,Catalytic/Enzymatic,nonrisk-specific,NO,FAAP20
FAAP20,TMF1,-2.222392421,2.222392421,nonrisk-specific,0,3.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,TMF1,DNA Repair,Apoptosis/Cell Death,nonrisk-specific,NO,FAAP20
FAAP20,TNPO2,-2.321928095,2.321928095,nonrisk-specific,0,4,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,TNPO2,DNA Repair,Signaling,nonrisk-specific,NO,FAAP20
FAAP20,TSC22D1,-1.874469118,1.874469118,nonrisk-specific,0,2.666666667,Interaction,NO,NO,NO,NO,YES,NO,NO,FAAP20,TSC22D1,DNA Repair,Apoptosis/Cell Death,nonrisk-specific,NO,FAAP20
FAAP20,ZZEF1,-2.938599455,2.938599455,nonrisk-specific,0,6.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,FAAP20,ZZEF1,DNA Repair,Ion Binding,nonrisk-specific,NO,FAAP20
ITGA1,ACP1,2,2,risk-specific,3,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,ACP1,Signaling,Catalytic/Enzymatic,risk-specific,NO,ITGA1
ITGA1,CHID1,1.874469118,1.874469118,risk-specific,2.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,CHID1,Signaling,Immune Response,risk-specific,NO,ITGA1
ITGA1,CKB,2.415037499,2.415037499,risk-specific,4.333333333,0,Interaction,YES,NO,NO,NO,NO,NO,NO,ITGA1,CKB,Signaling,Catalytic/Enzymatic,risk-specific,NO,ITGA1
ITGA1,COCH,2.321928095,2.321928095,risk-specific,4,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,COCH,Signaling,Structural,risk-specific,NO,ITGA1
ITGA1,COL6A1,2.662965013,2.662965013,risk-specific,5.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,COL6A1,Signaling,Differentiation/Development,risk-specific,NO,ITGA1
ITGA1,CTSC,2.115477217,2.115477217,risk-specific,3.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,CTSC,Signaling,Catalytic/Enzymatic,risk-specific,NO,ITGA1
ITGA1,ERO1B,2.321928095,2.321928095,risk-specific,4,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ITGA1,ERO1B,Signaling,Vesicle/Transport,risk-specific,NO,ITGA1
ITGA1,FBLN1,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ITGA1,FBLN1,Signaling,Structural,risk-specific,NO,ITGA1
ITGA1,FKBP10,4.564784619,4.564784619,risk-specific,22.66666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,FKBP10,Signaling,Catalytic/Enzymatic,risk-specific,NO,ITGA1
ITGA1,GXYLT1,2.115477217,2.115477217,risk-specific,3.333333333,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ITGA1,GXYLT1,Signaling,Catalytic/Enzymatic,risk-specific,NO,ITGA1
ITGA1,HYOU1,4.459431619,4.459431619,risk-specific,21,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,HYOU1,Signaling,Vesicle/Transport,risk-specific,NO,ITGA1
ITGA1,INHBE,2.115477217,2.115477217,risk-specific,3.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,INHBE,Signaling,Catalytic/Enzymatic,risk-specific,NO,ITGA1
ITGA1,LAMC1,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,LAMC1,Signaling,Structural,risk-specific,NO,ITGA1
ITGA1,MANF,2.736965594,2.736965594,risk-specific,5.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,MANF,Signaling,Vesicle/Transport,risk-specific,NO,ITGA1
ITGA1,MFGE8,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ITGA1,MFGE8,Signaling,Membrane/Transmembrane,risk-specific,NO,ITGA1
ITGA1,NEU1,2.321928095,2.321928095,risk-specific,4,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,NEU1,Signaling,Metabolic,risk-specific,NO,ITGA1
ITGA1,P4HA2,2.584962501,2.584962501,risk-specific,5,0,Interaction,YES,NO,NO,NO,NO,YES,NO,ITGA1,P4HA2,Signaling,Catalytic/Enzymatic,risk-specific,NO,ITGA1
ITGA1,PLOD2,3.624490865,3.624490865,risk-specific,11.33333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,PLOD2,Signaling,Membrane/Transmembrane,risk-specific,NO,ITGA1
ITGA1,PPIC,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,PPIC,Signaling,Catalytic/Enzymatic,risk-specific,NO,ITGA1
ITGA1,SERPINF1,2.502500341,2.502500341,risk-specific,4.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,SERPINF1,Signaling,Differentiation/Development,risk-specific,NO,ITGA1
ITGA1,STC2,2,2,risk-specific,3,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,STC2,Signaling,Vesicle/Transport,risk-specific,NO,ITGA1
ITGA1,ANKRD28,-2.938599455,2.938599455,nonrisk-specific,0,6.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,ANKRD28,Signaling,Catalytic/Enzymatic,nonrisk-specific,NO,ITGA1
ITGA1,ATM,-4.437405312,4.437405312,nonrisk-specific,0,20.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,ATM,Signaling,DNA Repair,nonrisk-specific,NO,ITGA1
ITGA1,ATR,-5.357552005,5.357552005,nonrisk-specific,0,40,Interaction,NO,NO,NO,NO,NO,YES,NO,ITGA1,ATR,Signaling,Catalytic/Enzymatic,nonrisk-specific,NO,ITGA1
ITGA1,BZW1,-2.736965594,2.736965594,nonrisk-specific,0,5.666666667,Interaction,NO,NO,NO,NO,NO,YES,NO,ITGA1,BZW1,Signaling,Transcription/Translation,nonrisk-specific,NO,ITGA1
ITGA1,BZW2,-2.321928095,2.321928095,nonrisk-specific,0,4,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,BZW2,Signaling,Transcription/Translation,nonrisk-specific,NO,ITGA1
ITGA1,C1orf112,-2.736965594,2.736965594,nonrisk-specific,0,5.666666667,Interaction,NO,NO,NO,NO,NO,YES,NO,ITGA1,FIRRM,Signaling,Catalytic/Enzymatic,nonrisk-specific,NO,ITGA1
ITGA1,COMMD3,-2.415037499,2.415037499,nonrisk-specific,0,4.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,COMMD3,Signaling,Vesicle/Transport,nonrisk-specific,NO,ITGA1
ITGA1,DOP1B,-3,3,nonrisk-specific,0,7,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,DOP1B,Signaling,Vesicle/Transport,nonrisk-specific,NO,ITGA1
ITGA1,DSC2,-2,2,nonrisk-specific,0,3,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,DSC2,Signaling,Membrane/Transmembrane,nonrisk-specific,NO,ITGA1
ITGA1,ECPAS,-5.763765654,5.763765654,nonrisk-specific,0,53.33333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,ECPAS,Signaling,Vesicle/Transport,nonrisk-specific,NO,ITGA1
ITGA1,EIF2B4,-3.736965594,3.736965594,nonrisk-specific,0,12.33333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,EIF2B4,Signaling,Transcription/Translation,nonrisk-specific,NO,ITGA1
ITGA1,EVI5,-4.029747343,4.029747343,nonrisk-specific,0,15.33333333,Interaction,NO,NO,NO,NO,NO,YES,NO,ITGA1,EVI5,Signaling,Signaling,nonrisk-specific,NO,ITGA1
ITGA1,EXOC6,-2.938599455,2.938599455,nonrisk-specific,0,6.666666667,Interaction,YES,NO,NO,NO,NO,NO,NO,ITGA1,EXOC6,Signaling,Vesicle/Transport,nonrisk-specific,NO,ITGA1
ITGA1,EXOC8,-3.874469118,3.874469118,nonrisk-specific,0,13.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,EXOC8,Signaling,Membrane/Transmembrane,nonrisk-specific,NO,ITGA1
ITGA1,FANCG,-1.874469118,1.874469118,nonrisk-specific,0,2.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,FANCG,Signaling,Differentiation/Development,nonrisk-specific,NO,ITGA1
ITGA1,FBXO2,-2,2,nonrisk-specific,0,3,Interaction,NO,YES,NO,NO,NO,NO,NO,ITGA1,FBXO2,Signaling,Ubiquitin/Degradation,nonrisk-specific,YES,ITGA1
ITGA1,HEATR3,-2,2,nonrisk-specific,0,3,Interaction,NO,NO,NO,NO,NO,NO,NO,ITGA1,HEATR3,Signaling,Protein-Protein Interaction,nonrisk-specific,NO,ITGA1
